ID,Name,Concepticon_ID,Concepticon_Gloss
1,1,1493,ONE
2,2,1498,TWO
3,3,492,THREE
4,4,1500,FOUR
5,5,493,FIVE
6,6,1703,SIX
7,7,1704,SEVEN
8,8,1705,EIGHT
9,9,1483,NINE
10,10,1515,TEN
11,11,1706,ELEVEN
12,12,1707,TWELVE
13,13,1708,THIRTEEN
14,14,2451,FOURTEEN
15,15,1709,FIFTEEN
16,16,2454,SIXTEEN
17,17,2453,SEVENTEEN
18,18,1713,EIGHTEEN
19,19,1714,NINETEEN
20,20,1710,TWENTY
21,21,1734,TWENTY ONE
22,22,3166,TWENTY TWO
23,23,3165,TWENTY THREE
24,24,1736,TWENTY FOUR
25,25,1738,TWENTY FIVE
26,26,3476,TWENTY SIX
27,27,3477,TWENTY SEVEN
28,28,3478,TWENTY EIGHT
29,29,3479,TWENTY NINE
30,30,1715,THIRTY
31,31,3480,THIRTY ONE
32,32,3481,THIRTY TWO
33,33,3482,THIRTY THREE
34,34,3483,THIRTY FOUR
35,35,3484,THIRTY FIVE
36,36,3485,THIRTY SIX
37,37,3486,THIRTY SEVEN
38,38,3487,THIRTY EIGHT
39,39,3488,THIRTY NINE
40,40,1716,FORTY
41,41,3556,FORTY ONE
43,43,3489,FORTY THREE
44,44,3490,FORTY FOUR
45,45,3491,FORTY FIVE
48,48,3492,FORTY EIGHT
50,50,1717,FIFTY
51,51,3561,FIFTY ONE
53,53,3493,FIFTY THREE
55,55,3494,FIFTY FIVE
60,60,1718,SIXTY
61,61,3568,SIXTY ONE
63,63,3495,SIXTY THREE
70,70,1721,SEVENTY
71,71,3576,SEVENTY ONE
72,72,3496,SEVENTY TWO
73,73,3497,SEVENTY THREE
80,80,1722,EIGHTY
81,81,3583,EIGHTY ONE
83,83,3498,EIGHTY THREE
90,90,1724,NINETY
91,91,3499,NINETY ONE
96,96,3500,NINETY SIX
99,99,3501,NINETY NINE
100,100,1634,HUNDRED
101,101,3502,ONE HUNDRED AND ONE
110,110,3503,ONE HUNDRED AND TEN
120,120,3504,ONE HUNDRED AND TWENTY
123,123,3164,ONE HUNDRED AND TWENTY THREE
133,133,3505,ONE HUNDRED AND THIRTY THREE
140,140,3506,ONE HUNDRED AND FORTY
144,144,3507,ONE HUNDRED AND FORTY FOUR
150,150,3508,ONE HUNDRED AND FIFTY
160,160,3509,ONE HUNDRED AND SIXTY
180,180,3510,ONE HUNDRED AND EIGHTY
200,200,2676,TWO HUNDRED
201,201,3511,TWO HUNDRED AND ONE
216,216,3512,TWO HUNDRED AND SIXTEEN
300,300,3513,THREE HUNDRED
399,399,3514,THREE HUNDRED AND NINETY NINE
400,400,3515,FOUR HUNDRED
500,500,3516,FIVE HUNDRED
600,600,3517,SIX HUNDRED
700,700,3518,SEVEN HUNDRED
800,800,3519,EIGHT HUNDRED
900,900,3520,NINE HUNDRED
999,999,3521,NINE HUNDRED AND NINETY NINE
1000,1000,1843,THOUSAND
1221,1221,3522,ONE THOUSAND TWO HUNDRED AND TWENTY ONE
1296,1296,3523,ONE THOUSAND TWO HUNDRED AND NINETY SIX
2000,2000,3524,TWO THOUSAND
3000,3000,3525,THREE THOUSAND
4000,4000,3526,FOUR THOUSAND
5000,5000,3527,FIVE THOUSAND
7000,7000,3528,SEVEN THOUSAND
7776,7776,3529,SEVEN THOUSAND SEVEN HUNDRED AND SEVENTY SIX
9000,9000,3530,NINE THOUSAND
10000,10000,2078,TEN THOUSAND
46656,46656,3531,FORTY SIX THOUSAND SIX HUNDRED AND FIFTY SIX
100000,100000,3532,ONE HUNDRED THOUSAND
1000000,1000000,3533,ONE MILLION
